,Category,SubCategory,ProductName,Description
8037,Accessories,Bags,"""Prada Striped Shell Belt Bag""","""One of Prada's most functional designs, this belt bag is made from weather-resistant shell fabric with zip compartments for storing your daily belongings. It's designed for navigating your day hands-free- try styling yours diagonally across the body."""
13670,Accessories,Socks,"""Falke - Lhasa Wool And Cashmere-blend Socks - Mens - Navy""","""Falke - Casual yet luxurious, Falke's dark navy Lhasa socks are woven from a mid-weight wool and cashmere-blend that's naturally insulating. They have a soft rib for comfort and reinforced stress zones for durability. Wear them to round off endless looks."""
13983,Suits,Tuxedos,"""peak lapel tuxedo suit jacket""","""White and black linen blend peak lapel tuxedo suit jacket from Tagliatore featuring a two tone design, peaked lapels, long sleeves, a button fastening, front pockets and a curved hemline. """
12081,Accessories,Gloves,"""Thom Browne Navy 4-Bar Rib Gloves""","""Pair of rib knit cashmere gloves in navy. Signature stripes in off-white and signature tricolor grosgrain flag at cuffs. Supplier color: NavySupplier textile: Cashmere"""
15617,Accessories,Cufflinks,"""Alice Made This - Bayley Round Patina-brass Cufflinks - Mens - Blue""","""Alice Made This - Made in the UK, these teal Bayley cufflinks from Alice Made This are designed to reflect traditional British engineering. Crafted from gold-tone solid brass, they are characterised with layers of patina hand-applied by London-based artist Derek Bayley for a sleek, refined finish."""
16763,Jackets/Coats,Overshirts,"""Jacquemus - Valensole Mottled Cotton-twill Overshirt - Mens - Light Green""","""Jacquemus - Subtle green mottling on the surface of Jacquemus's yellow Valensole overshirt recreates the dappled-light aesthetic that runs throughout the label's South of France-inspired SS20 collection. It's crafted from crisp cotton twill with knife pleats at the hem for extra ease and has a stand collar, relaxed drop-shoulder sleeves and a patch pocket."""
344,Accessories,Gloves,"""Bode Off-White Sherpa Half-Zip Mittens""","""Pair of wool sherpa mittens in off-white. White webbing trim at cuffs. Half-zip closure at outer side. Faux-suede lining in grey. Silver-tone hardware. Supplier color: Ecru"""
9492,Activewear,Active Pants,"""Logo Print Nylon Track Pants""","""Front button and concealed zip closure. Belt loops. Front and back printed logo details. One front snap button flap pocket. One back snap button flap pocket. Sample size: L"""
11545,Accessories,Tech Accessories,"""Logo Iphone X/xs Cover W/ Finger Grip""","""Suitable for iPhone XS and X. Back appliqué . Logo details"""
12826,Accessories,Ties,"""geometric embroidered tie""","""Brown and blue silk geometric embroidered tie from Ermenegildo Zegna featuring a geometric pattern and an embroidered design. """
15597,Underwear and Nightwear,Robes,"""Versace Men's Baroque Cotton Terry Bathrobe - Red Gold ""","""This luxe toweling robe in soft terry cotton features an iconic Versace Baroque finish with classical imagery throughout. Shawl collar Long sleeves Self-tie wrap closure Patch pockets at waist Cotton/elastane Machine wash Made in Italy SIZE \u0026 FIT About 55\"" from shoulder to hem. Men Accessories - Underwear \u003e Saks Fifth Avenue \u003e Barneys. Versace. Color: Red Gold. Size: Small."""
13301,Accessories,Gloves,"""finger-less knitted gloves""","""Black cashmere finger-less knitted gloves from N.Peal. """
12817,Activewear,Active Pants,"""Versace - Logo-embroidered Cotton Track Pants - Mens - Navy""","""Versace - Give off-duty edit a subtle Baroque air with Versace's navy track pants, which are embroidered in white with the label's signature Greek-key bounded Medusa roundel. They're crafted in Italy from soft cotton jersey and have an elasticated waistband and tapered legs with ribbed cuffs. Fits true to size."""
15171,Shoes,Boots,"""ankle boots""","""Tod's is a family-run company that has always striven for the utmost quality when delivering a complete range of future classics that should belong in every man’s wardrobe. These cocoa brown leather ankle boots from Tod's feature a round toe, a slip-on style, elasticated side panels, a leather lining and a rubber sole."""
5631,Suits,Tuxedos,"""Men's Velvet-Lapel Slim Tuxedo""","""Giorgio Armani two-piece tuxedo suit. Velvet peak lapel; one-button front. Basted cuffs. Front besom pockets; chest welt pocket. Double-vented back. Slim fit. Flat-front trousers. Velvet trim down sides. Unfinished hem to be tailored to desired length. Virgin wool/mulberry silk. Viscose/cupro/spandex lining. Viscose knee lining. Made in Italy."""
2726,Jackets/Coats,Coats,"""Long coat""","""Givenchy has designed an elegant, comfortable creation with this long jacket. This runway piece is neatly lined and features several pockets on the front with a shirt-style collar. The maxi shape creates an on-trend, vintage chic look. A garment to wear over a suit from the same collection, to enhance the look."""
103,Shoes,Loafers,"""Bottega Veneta Intrecciato Leather Slippers Size: 42""","""Bottega Veneta is at the forefront of must-have footwear curation; from boots to sneakers and more. These sleek loafers are woven using the label's trademark interacciato technique, giving them a unique, eye-catching look. Wear with straight-leg sateen trousers and bomber jackets for a chill, autumnal outfit."""
5465,Underwear and Nightwear,Boxers & Briefs,"""Drkshdw Cotton Jersey Boxer Shorts""","""Elastic waistband. Button closure. Two side pockets. Sample size: S"""
9542,Activewear,Active Pants,"""Burberry Red and Silver Bi-Color Track Pants""","""Relaxed-fit panelled nylon canvas track pants in red and reflective silver-tone. Mid-rise. Canvas trim in white throughout. Three-pocket styling. Elasticized waistband and cuffs. Multicolor rubberized logo patch at front. Mesh lining. Black hardware. Supplier color: Bright red"""
7514,Shoes,Slides/Slipper,"""Men's Fria GG Wool Slippers""","""Gucci merino wool slipper with dyed sheep shearling (Spain) lining. Flat heel. Round toe. Horsebit detail at notched vamp. Allover GG logo pattern. Rubber sole. \""Fria\"" is made in Italy."""
2140,Accessories,Eyewear,"""Billionaire Boys Club Sunglasses""","""Glossy finish. Lasered logo on lens. Black rubber detail. Microfiber soft pouch. Galaxy print hard case"""
42,Shoes,Oxfords,"""oxford shoes""","""Black leather and rubber oxford shoes from Santoni featuring a round toe, a flat sole, a lace fastening and a branded insole. """
18264,Shoes,Slides/Slipper,"""black Pursuit web slides ""","""A casual rubber slide sandal with our Web detail. Black rubber with green and red Web. Moulded rubber footbed. Rubber sole. Made in Italy."""
2298,Shirts,Shirts,"""Men's Multi-Stripe Dress Shirt""","""Brioni dress shirt in multi stripes. Spread collar; French-placket button front. French cuffs; cuff links not included. Shirttail hem. Cotton. Handmade in Italy"""
57,Shoes,Oxfords,"""Oxford shoes""","""An Italian superbrand synonymous with quality, tradition and innovation, Tod’s continues to offer the best in luxury accessories this season. These black Oxford shoes are crafted from patent leather and feature an almond toe, stitching details, a lace-up front fastening, a side embossed logo stamp, a branded insole and a thick rubber sole."""
273,Accessories,Pocket Squares,"""Brunello Cucinelli Men's Border Print Silk Pocket Square - Light Beige""","""Luxe silk pocket square with subtle three-dot print contained by a diamond dot border. Silk Dry clean Made in Italy SIZE 13\""W x 13\""L. Men Luxury Coll - Brunello Cucinelli \u003e Brunello Cucinelli \u003e Saks Fifth Avenue \u003e Barneys. Brunello Cucinelli. Color: Light Beige."""
12930,Accessories,Ties,"""Canali 8cm Silk Tie""","""A tie that's as well-made as this Canali one will see you through everything from client meetings to wedding receptions. It's been woven in Italy from smooth silk and is a light-blue shade that'll sit nicely alongside crisp white shirts and grey tailoring. Shown here with Charvet shirt. - - Blue silk - 100% silk - Dry clean - Made in Italy"""
15189,Shoes,Boots,"""Seaburn derby boots""","""Dark brown leather Seaburn derby boots from Barbour featuring a lace-up front fastening, a front hook and eye fastening, a round toe, a pull tab at the rear, a chunky low heel, a ridged rubber sole and embossed logo to the side. """
14264,Pants,Denim,"""3301 Slim Stretch Cotton Denim Jeans""","""Front button and concealed zip closure. Belt loops. Back logo patch detail. Stonewashed coloring may vary. Five pockets. Slim fit. Hem: 17cm"""
13303,Accessories,Gloves,"""stitch-detail gloves""","""Brown cashmere and deer skin stitch-detail gloves from Prada featuring a stitch detail and a slim fit. Please note that this item cannot be shipped outside the E.U."""
11900,Accessories,Eyewear,"""Sl 341 Acetate Sunglasses""","""Bridge: 21mm. Temple length: 145mm. Acetate frame. Metal details . Logo detail at temple. Lenses category: 3 . 100% UV protection . Size: 51"""
9194,Shirts,T-Shirts,"""Men's Pondy Tie-Dye T-Shirt""","""Isabel Marant \""Pondy\"" T-shirt in tie-dye pattern. Crew neckline. Hem hits at hips. Pullover style. Cotton. Imported."""
4073,Pants,Denim,"""Repaired Cotton Blend Denim Jeans""","""Front button and concealed zip closure. Belt loops. Back logo patch detail. Intentionally destroyed and faded areas may vary. Five pockets"""
17344,Shoes,Slides/Slipper,"""Men's Polo Ralph Lauren Cayson Slide""","""Step up your poolside game in this well-cushioned slide made with a knit-lined vamp and unmistakable Ralph touches like heritage plaid and the pony logo. Style Name: Polo Ralph Lauren Cayson Slide (Men). Style Number: 5974360. Available in stores."""
12510,Suits,Tuxedos,"""HUGO Men's Alinzs Tuxedo Jacket - Black ""","""Dapper tuxedo jacket in virgin wool-silk blend embodies a tailored aesthetic. Notch lapels Long sleeves Buttoned cuffs Button front Chest welt pocket Waist welt pockets Lined Virgin wool/silk/viscose Dry clean Made in Canada SIZE \u0026 FIT About 31\"" from shoulder to hem. Men Modrn Dsgn - Hugo \u003e Saks Fifth Avenue \u003e Barneys. HUGO. Color: Black. Size: 46 R."""
16076,Shoes,Slides/Slipper,"""FF logo slides""","""The FF logo plays a starring role in Fendi’s most recent collection. Available in various colours and fabrics, the brand has created a line that results in retro, monogram covered streetwear. Crafted from white and black leather and rubber, these FF logo slides feature a slip-on style, crossover straps to the front, an open toe and a ridged rubber sole."""
14031,Suits,Tuxedos,"""Men's Super 130s Wool Two-Piece Tuxedo Suit""","""Emporio Armani formal two-piece tuxedo suit. Notched lapel; single-button front. Finished sleeves; four-button detail at cuffs. Welt pockets at chest and hips. Double-vented back. Includes matching flat-front trousers with tapered leg. Unfinished hem to be tailored to desired length. Super 130s wool. Made in Bulgaria."""
10806,Shirts,T-Shirts,"""Davi Paris White Logo Patch Tank Top""","""Sleeveless cotton jersey tank top in white. Scoop neck collar. Textile graphic patch in black and white at chest. Supplier color: Jersey blanc"""
18100,Shoes,Slides/Slipper,"""Kingdom Print Slides""","""Slides printed with logo lettering and ‘Kingdom’ – the name of Riccardo Tisci’s debut collection for Burberry."""
11766,Shirts,T-Shirts,"""VETEMENTS Hot Sauce Long Sleeve Tee in Black""","""VETEMENTS Hot Sauce Long Sleeve Tee in Black 100% cotton. Made in Portugal. Machine wash. Screen print graphic detail throughout. VETF-MS51. MAH20TR010. About the designer: Vetements is a collective of seven anonymous designers based in Paris born out of a desire to escape the continual rebranding and reinvention of the fashion cycle. The Parisian label is headed by Demna Gvasalia and known for their streamlined cuts, youthful energy and completely rethought proportions. Vetements incorporates touches of deconstruction and rough edges into the modern womanâs wardrobe essentials, channeling the energy of the underground and transforming it into a refined, modern aesthetic."""
13387,Accessories,Gloves,"""cable knit gloves""","""Black cable knit gloves from Michael Kors featuring ribbed trimming, an upturned brim and a silver-tone logo plaque. """
9453,Activewear,Active Pants,"""Nylon Track Pants W/ Toggle Details""","""Concealed front hook and zip closure. Belt loops. All over elastic toggles can be adjusted to create a ruched effect. Two side zip pockets"""
12374,Accessories,Socks,"""Men's Diamond Interlocking G Cotton Socks""","""Gucci calf-high socks with interlocking GG and diamond motif. Solid toe, heel, and cuffs. Cotton/nylon/spandex. Made in Italy."""
9093,Activewear,Sweatshirts/Hoodies,"""Balenciaga Men's New BB Logo Hoodie - Red ""","""A bold logo graphic accents this cotton drawstring hoodie. Attached drawstring hood Long sleeves Front kangaroo pocket Pullover style Cotton Hand wash Made in Portugal SIZE \u0026 FIT About 30\"" from shoulder to hem. Men Advcd Dsgnr - Advanced Designer Collec \u003e Balenciaga \u003e Saks Fifth Avenue \u003e Barneys. Balenciaga. Color: Red. Size: XL."""
13904,Shoes,Sandals,"""Suicoke - Zip Multi-strap Technical-canvas Sandals - Mens - Navy Multi""","""Suicoke - Suicoke's navy Zip sandals are crafted with a moulded EVA footbed which allows natural movement that helps improve posture. They're made with panels of technical canvas and ripstop with slender straps which fasten with fuchsia-pink Velcro and rest on a serrated rubber sole."""
14572,Underwear and Nightwear,Boxers & Briefs,"""Calvin Klein Underwear One Micro Boxer Briefs""","""Logo elastic waistband No fly Floral print Shell: 91% nylon/9% elastane Wash cold Imported, India"""
14943,Accessories,Tech Accessories,"""Palm Angels Multicolor and Black Flame iPhone X Case""","""Rigid iPhone X case in black. Graphic pattern in tones of orange and red and logo in white printed at face. Approx. 2.75 length x 5.75 height. Supplier color: Black/Multicolor"""
2714,Jackets/Coats,Coats,"""Oversized coat""","""The Ami brand brings a touch of comfort to this oversized coat with its trendy finishes. This creation features a loose fit with buttons on the front and on the wrists. The coat has a light belt and a wide collar. A garment that boosts the look and will highlight an outfit from the renowned designer's same collection."""
12731,Activewear,Active Pants,"""A-COLD-WALL* Beige Curved Stitch Track Pants""","""Tapered panelled plain-woven nylon lounge pants in beige. Mid-rise. Three-pocket styling. Tonal overlock stitching throughout. Bungee-style drawstring at elasticized waistband. Press-stud fastening and logo printed in grey at vented cuffs. Transparent hardware. Supplier color: Moonbeam"""
6867,Accessories,Eyewear,"""YNIQ - Bonded-logo Ski Goggles - Mens - Black""","""YNIQ - YNIQ's black ski goggles merge Italian craftsmanship with intelligent design features such as anti-fog lenses, layered foam padding and an anti-slip silicone strap. They're built for lightweight comfort and optimum peripheral view in all-weather conditions."""
8318,Pants,Pants,"""Workwear pants""","""Elegance always, but above all a nod to practicality for the Workwear pants that Phipps has designed for men with a practical spirit."""
1297,Jewelry,Watches,"""Sekford Watches - Type 1a Stainless-steel And Saffiano-leather Watch - Mens - Red Multi""","""Sekford Watches - Sekford is named after a street in Clerkenwell, London - an area with a heritage in watchmaking. This red Type 1A design is inspired by the fine lettering found on English pocket watches. The bespoke gold-plated typography, which is encased in stainless-steel domed crystal mineral glass, has been custom made for clarity, and the quartz movement ensures the highest level of Swiss expertise. The piece is finished with a classic red leather strap sourced from one of Derbyshire's oldest tanneries."""
10098,Suits,Suits,"""Ermenegildo Zegna Men's Leggerissimo Solid Wool-Silk Suit - Blue ""","""Tailored to perfection, this classic suit in rich wool and silk-blend is a sophisticated wardrobe essential. Lined. Wool-silk. Dry clean. Made in Switzerland. JACKET Notch lapels Long sleeves Button cuffs Button front Chest welt pocket Waist flap pockets PANTS Belt loops Zip fly with button closure Side slash pockets Back welt pockets SIZE \u0026 FIT Jacket, about 30\"" from shoulder to hem Inseam, about 32\"". Men Luxury Coll - Zegna Clothing \u003e Saks Fifth Avenue \u003e Barneys. Ermenegildo Zegna. Color: Blue. Size: 50 (40) R."""
16597,Jackets/Coats,Overshirts,"""Arm Lens Overshirt""","""Black cotton Arm Lens Overshirt from C.P. Company featuring a pointed collar, a front zip fastening, a patch pocket at the chest, long sleeves, a brand logo on external arm, button cuffs and a curved hem. """
11270,Shoes,Derbys,"""AMI Alexandre Mattiussi Black Worker Derbys""","""Polished leather derbys in black. Round toe. Tonal lace-up closure. Tonal pull-loop at heel collar. Tonal buffed leather and suede lining. Topstitched detailing at welt. Tonal stacked foam rubber and leather midsole. Tonal treaded rubber outsole. Silver-tone hardware. Contrast stitching in grey. Supplier color: Black"""
11560,Accessories,Eyewear,"""Da Timebender Sunglasses""","""100% UVA/UVB protection. Adjustable temple length . PC lenses. Nose and forehead pads"""
3474,Shoes,Boots,"""Eye/loewe/nature - Logo-patch Suede Hiking Boots - Mens - Navy/black""","""Eye/LOEWE/Nature - These navy hiking boots are crafted as part of Eye/LOEWE/Nature's latest collection which offers durable outerwear inspired by Japan's picturesque Mount Fuji. They're made from soft suede that's layered with black technical canvas and leather panels that are debossed with a discreet logo, then secure with laces that loop through grosgrain hooks at the round toe."""
5082,Shoes,Sandals,"""Jil Sander - Crossover-strap Leather Sandals - Mens - Black""","""Jil Sander - Jil Sander's minimalist black sandals strike a contemporary mood and were worn on the SS20 runway. They're crafted in Italy with smooth leather straps which cross over for a woven effect and rest on a low stacked heel, evoking the label's minimalist ease."""
6345,Pants,Shorts,"""Plain swim shorts""","""Hartford offers its plain swim shorts with understated discreet style to enhance your body. They are comfortable and practical, but still very modern and casual."""
7803,Accessories,Tech Accessories,"""IPHONE XS COVER W FINGER GRIP BLACK BLAC""","""1010 BLACK BLACK Synthetic-\u003ePVC IPHONE XS COVER W FINGER GRIP BLACK BLAC from Off-White. """
3595,Accessories,Hats,"""Men's Patagonia Fitz Roy Bear Trucker Hat - Grey""","""A logo patch stands out front and center on a six-panel trucker hat with a brim made from recycled fishing nets. Style Name: Patagonia Fitz Roy Bear Trucker Hat. Style Number: 5912987. Available in stores."""
4915,Shoes,Sneakers,"""Gel-Venture 7 SPS Trainers""","""The incredible Gel-Venture 7 SPS trainers by Asics have a very masculine design. Asics' technical expertise is evident in these modern, ultra stylish trainers."""
8670,Activewear,Sweatshirts/Hoodies,"""Diesel Men's Alby Coca-Cola Sweatshirt - Black ""","""Dripping in chest logo graphics, this cotton-blend hoodie showcases iconic imagery. Attached drawstring hood Long sleeves Pullover style Cotton/polyester Machine wash Made in Portugal SIZE \u0026 FIT About 27\"" from shoulder to hem. Men Adv Contemp - Contemp Denim And Bottom \u003e Saks Fifth Avenue \u003e Barneys. Diesel. Color: Black. Size: Medium."""
6306,Pants,Shorts,"""Angra swim shorts""","""Frescobol Carioca's Angra swim shorts have a strong geometric print on a classic cut for a summery feel."""
2308,Accessories,Cufflinks,"""Deakin \u0026 Francis - Dreamcatcher Sapphire \u0026 Sterling-silver Cufflinks - Mens - White""","""Deakin \u0026 Francis - Deakin and Francis' rose gold-plated cufflinks are inlaid with iridescent mother-of-pearl that's engraved with an intricate pattern, echoing fortunate dreamcatchers - a key source of inspiration for the namesake collection. They're made from sterling silver and set with a pink sapphire stone in the centre."""
2425,Accessories,Cufflinks,"""Cufflinks, Inc. Men's Marvel Sterling Silver 3D Captain America Shield Cufflinks - Silver""","""These polished Captian America cufflinks are a sophisticated way to embrace your love of Marvel. Sterling silver Spot clean Round swivel closure Officially licensed by Marvel SIZE \u0026 FIT Diameter, approximately 0.625\"". Men Accessories - Jewelry \u003e Saks Fifth Avenue \u003e Barneys. Cufflinks, Inc. Color: Silver."""
14034,Suits,Tuxedos,"""Alexander Mcqueen - Silk-trimmed Wool And Mohair-blend Tuxedo Jacket - Mens - Navy""","""Alexander McQueen - Alexander McQueen's infuses its flamboyant house codes to the traditional tone of this navy tuxedo jacket, trimmed with large black silk peak lapels embroidered with intricate florals. It's tailored in Italy from a rich blend of wool and mohair to a slim fit that accentuates the frame."""
4847,Underwear and Nightwear,Boxers & Briefs,"""Calvin Klein Underwear 3 Pack Low Rise Trunks""","""3 pack Logo elastic waistband No fly Shell: 95% cotton/5% elastane Wash cold Imported, Kenya"""
8798,Activewear,Sweatshirts/Hoodies,"""Top with patches""","""This top with patches of colour combines a round neck and straight cut. Kenzo fits this piece with contemporary style into the colourblock trend."""
11340,Accessories,Eyewear,"""Han Kjobenhavn Silver Drum Clear Sunglasses""","""Round transparent acetate and metal-frame sunglasses in silver-tone. Transparent rubber nose pads. Tonal ZEISS scratch-resistant mirrored lenses with 100% UVA/UBA protection. Acetate temple tips. Size: 53.20 145.Logo-embossed hardside case in grey included. Supplier color: Sun silver mirror"""
16251,Accessories,Cufflinks,"""Cufflinks, Inc. Men's Goldtone Moving Parts Scales of Justice Cuff Links - Gold""","""Glossy scales of justice cuff links with moving parts Goldtone Metal Spot clean Imported. Men Accessories - Jewelry \u003e Saks Fifth Avenue \u003e Barneys. Cufflinks, Inc. Color: Gold."""
15656,Accessories,Cufflinks,"""Alice Made This - Lucas Indented Cufflinks - Mens - Silver""","""Alice Made This - Indented with a concentric engraving inspired by water ripples, these silver Lucas cufflinks by Alice Made This will make a characterful addition to smart day-to-day shirts. They're engineered from aerospace-grade stainless steel using a process that's traditionally associated with the manufacturing of space and aircraft parts."""
14706,Accessories,Eyewear,"""Matsuda Eyewear Round-Frame Metal Sunglasses""","""Matsuda Eyewear is designed in Japan, and crafted with the edgy sensibilities of the country. Their edit is comprised of classic silhouettes with modernized colors, lenses and geometric details that make each piece covetable and timeless. Rounded frames give off a vintage vibe-think of the 80s. These easy sunglasses have a simplistic design that teams well with any ensemble."""
15756,Accessories,Cufflinks,"""Cufflinks, Inc. Men's Batman Stainless Steel Cufflinks - Gold""","""Essential Batman-inspired stainless steel cufflinks 2\""W x 0.5\""L Stainless steel Imported. Men Accessories - Jewelry \u003e Saks Fifth Avenue \u003e Barneys. Cufflinks, Inc. Color: Gold."""
9796,Underwear and Nightwear,Boxers & Briefs,"""Off-White - Set Of Three Stretch-cotton Jersey Boxer Trunks - Mens - White""","""Off-White - Part of Off-White's SS19 collection, this trio of white boxer trunks is made in Italy from stretch-cotton jersey. The close-fit shape is perfect for everyday comfort and fitted with a logo-embroidered low-rise waistband."""
11658,Accessories,Pins and Clips,"""Rokit Metal Pintril Pin""","""Created in collaboration with Rokit. Enameled details"""
16709,Jackets/Coats,Overshirts,"""Stone Island Blue Zip-Up Overshirt Jacket""","""Long sleeve stretch cotton twill jacket in blue. Spread collar. Two-way zip closure at front. Zippered pockets at waist. Detachable logo patch at sleeve. Press-stud fastening at cuffs. Unlined. Black hardware. Supplier color: Blue marineSupplier code: 721511905"""
18192,Shoes,Sandals,"""Vetements - Anatomic Logo-embossed Flip Flops - Mens - Yellow""","""Vetements - Appearing on the SS20 runway, Vetements' neon-yellow Anatomic flip flops are designed in the shape of a foot, reflecting the label's subversive twist on a classic poolside style. They're made in Italy from rubber with an embossed black logo across the strap and set on a branded foam and rubber sole."""
14013,Suits,Tuxedos,"""jacquard casino tuxedo jacket ""","""Domenico Dolce and Stefano Gabbana are at the height of Italian luxury. Along with iconic prints and signature floral blooms, the notorious Italian designer duo are experts at fashioning timeless classics for the debonair uomo. This black and gold-toned metallic fibre and silk blend jacquard casino tuxedo jacket  features notched lapels, a front button fastening, long sleeves, front pockets, button cuffs, a baroque print and a straight hem. """
13563,Accessories,Belts,"""E buckle belt""","""Etro draws on their traditional Italian roots when designing their collections - from shaping to prints, the bohemian-inspired brand continues to create retro-influenced pieces with a modern twist. This brown leather E buckle belt from Etro features an adjustable fit, punch hole detailing and a pointed tip. """
4028,Pants,Denim,"""Men's Allsaints Cigarette Skinny Fit Jeans""","""Pre-washed fading and distressing break in the look and feel of modern skinny jeans as though they've been kicking around as old favorites for years. Style Name: Allsaints Cigarette Skinny Fit Jeans (Jet Black). Style Number: 5643013. Available in stores."""
18303,Underwear and Nightwear,Boxers & Briefs,"""Pack Of 3 Stretch Cotton Boxer Briefs""","""Includes three boxer briefs, each in a different color. Elastic waistband . Side reinforced eyelets. Sample size: M"""
4580,Jackets/Coats,Vests,"""Memory Supervisor Paneled Vest""","""High collar. Front snap button and concealed zip closure. Drawstring at waist. Quilted front and back inserts. Color block construction. Logo details. Two front cargo pockets"""
10550,Activewear,Active Pants,"""Marcelo Burlon - Camouflage-print Technical Jersey Track Pants - Mens - Grey Multi""","""Marcelo Burlon - Marcelo Burlon's camouflage-print track pants are crafted in Italy from ultra-lightweight technical jersey for a functional aesthetic. They feature an elasticated waistband, side slip pockets and are neatly cuffed at the ankles to taper the silhouette naturally."""
11959,Shirts,T-Shirts,"""Ksubi Sioux Tee in Black""","""Ksubi Sioux Tee in Black 100% cotton. Made in China. Hand wash. Distressed fabric detail throughout. KSUF-MS1. 1000062600. About the designer:"""
8978,Activewear,Sweatshirts/Hoodies,"""Men's Two-Tone Cashmere Zip-Front Hoodie""","""Isaia hoodie in two-tone knit. Hooded neckline; zip front. Side slip pockets. Straight hem. Cashmere. Made in Italy."""
8764,Activewear,Sweatshirts/Hoodies,"""Versace Men's Baroque Chevron Print Sweatshirt - Red Black Multi ""","""Rich cotton pullover boasts vibrant chevron motif in signature baroque print. Crewneck Long sleeves Pullover style Ribbed trim Cotton Dry clean Made in Italy SIZE \u0026 FIT About 28\"" from shoulder to hem. Men Advcd Dsgnr - Versace \u003e Saks Fifth Avenue \u003e Barneys. Versace. Color: Red Black Multi. Size: XXL."""
2602,Shoes,Boots,"""Dr. Martens Black 1460 Harness Boots""","""Ankle-high buffed leather boots in black. Round toe. Harness-style strap featuring pin-buckle fastening at vamp and heel. Signature yellow stitching at welt. Signature Air Cushion rubber sole in tan. Gunmetal-tone hardware. Supplier color: Black"""
8868,Activewear,Sweatshirts/Hoodies,"""Men's Icon Typographic Hoodie""","""DSquared2 hoodie with \""Icon\"" typographic. Drawstring, hooded neckline. Straight hem. Pullover style. Cotton. Made in Italy."""
13190,Pants,Chinos,"""Reconstructed Wool Blend Chino Pants""","""Belt loops. Concealed front hook and zip closure. Pleated front panel. Front embroidered logo detail. Two side pockets. One back pocket. Unlined. Sample size: 31"""
2516,Accessories,Eyewear,"""Fendi - Round Acetate Glasses - Mens - Black""","""Fendi - Fendi heightens the graphic impression of these black acetate glasses with bright orange accents. They're crafted in Italy with round frames and clear acetate arms that reveal the internal silver metal structure, then accented by logos at the temples."""
14506,Sweaters,Cardigans,"""Comme des Garcons Homme Deux Grey Lochaven Of Scotland Edition Raglan Cardigan""","""Long sleeve brushed knit cardigan in grey. Rib knit Y-neck collar, cuffs, and hem. Button closure at front. Raglan sleeves. Part of the Comme des Garcons Homme Deux x Lochaven Of Scotland collaboration. Supplier color: Grey"""
13676,Accessories,Socks,"""Pantherella - Pembrey Cotton-blend Socks - Mens - Charcoal""","""Pantherella - Pantherella's luxury craftsmanship is seen with these charcoal-grey Pembrey socks. They are constructed in the UK from Sea Island cotton that is cultivated in the British West Indies and has silky, durable, and soft characteristics. The ribbed-knit is finished with a seamless toe and heel panel and a smooth hand-linked toe."""
5815,Suits,Tuxedos,"""Emporio Armani Men's M Line Stretch Wool Tuxedo - Solid Blue ""","""Elegant tuxedo in a timeless silhouette. Wool/elastane. Dry clean. Made in Italy. JACKET Notch lapels Long sleeves Button cuffs Button front Chest welt pocket Waist welt pockets Dual back vents About 27 from shoulder to hem PANTS Belt loops Zip fly with concealed hook-and-bar closure On-seam pockets Back buttoned welt pockets Rise, about 14 Inseam, about 34 Please note: The garment tag indicates Italian sizing. Sizes above are listed with the Italian size followed by the US size in brackets. Men Luxury Coll - Formal Wear \u003e Saks Fifth Avenue \u003e Barneys. Emporio Armani. Color: Solid Blue. Size: 46 (36) S."""
7014,Accessories,Gloves,"""3-in-1 Check Cotton Blend Gloves""","""Ribbed cuff. Reversible, with one leather side and one check printed side. Semi-detachable mitten panel. Can be worn as fingerless gloves or mittens. Logo patch details"""
12248,Accessories,Pocket Squares,"""Brunello Cucinelli Men's Floral Medallion Pocket Square - Light Grey""","""Eclectic pocket square with central floral medallion bordered by mini medallion print. Linen/cotton Dry clean Made in Italy SIZE 13\""W x 13\""L. Men Luxury Coll - Brunello Cucinelli \u003e Brunello Cucinelli \u003e Saks Fifth Avenue \u003e Barneys. Brunello Cucinelli. Color: Light Grey."""
11025,Shirts,T-Shirts,"""Men's Striped-Armband T-Shirt""","""Brunello Cucinelli T-shirt with striped arm band. Crew neckline. Straight hem. Pullover style. Cotton. Made in Italy."""
12212,Accessories,Pocket Squares,"""Sewing print pocket square""","""White silk Sewing print pocket square from Fefè featuring a striped trim at the edges and a logo print at the corner. """
